"cc_iso3c","var","value","group","ord"
"CHL","sens_2017",0.446,1,5
"CHL","rank_2019",24,0,6
"CHL","rank_55",24,1,7
"CHL","rank_60",23,1,8
"CHL","rank_75",21,1,9
"CHL","rank_2017",22,1,10
"CHL","sens_cap1",0.463,2,11
"CHL","sens_cap2",0.463,2,12
"CHL","sens_2015",0.473,2,13
"CHL","sens_2016",0.396,2,14
"CHL","rank_cap1",24,2,15
"CHL","rank_cap2",24,2,16
"CHL","rank_2015",23,2,17
"CHL","rank_2016",25,2,18
"CHL","sens_5050",0.451,3,19
"CHL","sens_equal",0.459,3,20
"CHL","sens_dqa",0.444,3,21
"CHL","sens_internal",0.461,3,22
"CHL","sens_sum",0.44,3,23
"CHL","rank_5050",24,3,24
"CHL","rank_equal",24,3,25
"CHL","rank_dqa",23,3,26
"CHL","rank_internal",22,3,27
"CHL","rank_sum",23,3,28
"CHL","sens_rank",0.465,4,29
"CHL","sens_rescale",0.484,4,30
"CHL","sens_std",0.474,4,31
"CHL","rank_rank",22,4,32
"CHL","rank_rescale",22,4,33
"CHL","rank_std",23,4,34
"CHL","sens_allin",0.447,5,35
"CHL","sens_midas",0.458,5,36
"CHL","sens_rf",0.469,5,37
"CHL","sens_mean",0.419,5,38
"CHL","rank_allin",21,5,39
"CHL","rank_midas",23,5,40
"CHL","rank_rf",22,5,41
"CHL","rank_mean",23,5,42
"CZE","incise_2019",0.245,0,1
"CZE","sens_55",0.26,1,2
"CZE","sens_60",0.26,1,3
"CZE","sens_75",0.257,1,4
"CZE","sens_2017",0.259,1,5
"CZE","rank_2019",30,0,6
"CZE","rank_55",30,1,7
"CZE","rank_60",28,1,8
"CZE","rank_75",26,1,9
"CZE","rank_2017",26,1,10
"CZE","sens_cap1",0.24,2,11
"CZE","sens_cap2",0.24,2,12
"CZE","sens_2015",0.221,2,13
"CZE","sens_2016",0.309,2,14
"CZE","rank_cap1",31,2,15
"CZE","rank_cap2",31,2,16
"CZE","rank_2015",32,2,17
"CZE","rank_2016",27,2,18
"CZE","sens_5050",0.24,3,19
"CZE","sens_equal",0.253,3,20
"CZE","sens_dqa",0.228,3,21
"CZE","sens_internal",0.174,3,22
"CZE","sens_sum",0.254,3,23
"CZE","rank_5050",30,3,24
"CZE","rank_equal",30,3,25
"CZE","rank_dqa",30,3,26
"CZE","rank_internal",32,3,27
"CZE","rank_sum",31,3,28
"CZE","sens_rank",0.275,4,29
"CZE","sens_rescale",0.257,4,30
"CZE","sens_std",0.251,4,31
"CZE","rank_rank",28,4,32
"CZE","rank_rescale",29,4,33
"CZE","rank_std",30,4,34
"CZE","sens_allin",0.219,5,35
"CZE","sens_midas",0.227,5,36
"CZE","sens_rf",0.241,5,37
"CZE","sens_mean",0.243,5,38
"CZE","rank_allin",30,5,39
"CZE","rank_midas",31,5,40
"CZE","rank_rf",30,5,41
"CZE","rank_mean",31,5,42
"DEU","incise_2019",0.505,0,1
"DEU","sens_55",0.502,1,2
"DEU","sens_60",0.503,1,3
"DEU","sens_75",0.504,1,4
"DEU","sens_2017",0.502,1,5
"DEU","rank_2019",19,0,6
"DEU","rank_55",18,1,7
"DEU","rank_60",18,1,8
"DEU","rank_75",16,1,9
"DEU","rank_2017",19,1,10
"DEU","sens_cap1",0.521,2,11
"DEU","sens_cap2",0.521,2,12
"DEU","sens_2015",0.506,2,13
"DEU","sens_2016",0.536,2,14
"DEU","rank_cap1",19,2,15
"DEU","rank_cap2",19,2,16
"DEU","rank_2015",21,2,17
"DEU","rank_2016",18,2,18
"DEU","sens_5050",0.503,3,19
"DEU","sens_equal",0.507,3,20
"DEU","sens_dqa",0.499,3,21
"DEU","sens_internal",0.514,3,22
"DEU","sens_sum",0.525,3,23
"DEU","rank_5050",19,3,24
"DEU","rank_equal",18,3,25
"DEU","rank_dqa",19,3,26
"DEU","rank_internal",18,3,27
"DEU","rank_sum",18,3,28
"DEU","sens_rank",0.506,4,29
"DEU","sens_rescale",0.497,4,30
"DEU","sens_std",0.488,4,31
"DEU","rank_rank",20,4,32
"DEU","rank_rescale",19,4,33
"DEU","rank_std",21,4,34
"DEU","sens_allin",0.488,5,35
"DEU","sens_midas",0.494,5,36
"DEU","sens_rf",0.484,5,37
"DEU","sens_mean",0.49,5,38
"DEU","rank_allin",18,5,39
"DEU","rank_midas",19,5,40
"DEU","rank_rf",20,5,41
"DEU","rank_mean",18,5,42
"DNK","incise_2019",0.832,0,1
"DNK","sens_55",0.854,1,2
"DNK","sens_60",0.847,1,3
"DNK","sens_75",0.85,1,4
"DNK","sens_2017",0.843,1,5
"DNK","rank_2019",6,0,6
"DNK","rank_55",6,1,7
"DNK","rank_60",6,1,8
"DNK","rank_75",5,1,9
"DNK","rank_2017",6,1,10
"DNK","sens_cap1",0.817,2,11
"DNK","sens_cap2",0.817,2,12
"DNK","sens_2015",0.789,2,13
"DNK","sens_2016",0.775,2,14
"DNK","rank_cap1",7,2,15
"DNK","rank_cap2",7,2,16
"DNK","rank_2015",9,2,17
"DNK","rank_2016",8,2,18
"DNK","sens_5050",0.823,3,19
"DNK","sens_equal",0.851,3,20
"DNK","sens_dqa",0.797,3,21
"DNK","sens_internal",0.774,3,22
"DNK","sens_sum",0.855,3,23
"DNK","rank_5050",7,3,24
"DNK","rank_equal",6,3,25
"DNK","rank_dqa",7,3,26
"DNK","rank_internal",8,3,27
"DNK","rank_sum",6,3,28
"DNK","sens_rank",0.862,4,29
"DNK","sens_rescale",0.824,4,30
"DNK","sens_std",0.827,4,31
"DNK","rank_rank",5,4,32
"DNK","rank_rescale",7,4,33
"DNK","rank_std",7,4,34
"DNK","sens_allin",0.833,5,35
"DNK","sens_midas",0.838,5,36
"DNK","sens_rf",0.837,5,37
"DNK","sens_mean",0.808,5,38
"DNK","rank_allin",7,5,39
"DNK","rank_midas",5,5,40
"DNK","rank_rf",6,5,41
"DNK","rank_mean",7,5,42
"ESP","incise_2019",0.599,0,1
"ESP","sens_55",0.596,1,2
"ESP","sens_60",0.589,1,3
"ESP","sens_75",0.586,1,4
"ESP","sens_2017",0.59,1,5
"ESP","rank_2019",17,0,6
"ESP","rank_55",17,1,7
"ESP","rank_60",16,1,8
"ESP","rank_75",15,1,9
"ESP","rank_2017",17,1,10
"ESP","sens_cap1",0.608,2,11
"ESP","sens_cap2",0.609,2,12
"ESP","sens_2015",0.593,2,13
"ESP","sens_2016",0.602,2,14
"ESP","rank_cap1",17,2,15
"ESP","rank_cap2",17,2,16
"ESP","rank_2015",17,2,17
"ESP","rank_2016",13,2,18
"ESP","sens_5050",0.593,3,19
"ESP","sens_equal",0.611,3,20
"ESP","sens_dqa",0.576,3,21
"ESP","sens_internal",0.589,3,22
"ESP","sens_sum",0.611,3,23
"ESP","rank_5050",17,3,24
"ESP","rank_equal",17,3,25
"ESP","rank_dqa",17,3,26
"ESP","rank_internal",17,3,27
"ESP","rank_sum",15,3,28
"ESP","sens_rank",0.577,4,29
"ESP","sens_rescale",0.598,4,30
"ESP","sens_std",0.591,4,31
"ESP","rank_rank",16,4,32
"ESP","rank_rescale",17,4,33
"ESP","rank_std",17,4,34
"ESP","sens_allin",0.609,5,35
"ESP","sens_midas",0.598,5,36
"ESP","sens_rf",0.598,5,37
"ESP","sens_mean",0.574,5,38
"ESP","rank_allin",16,5,39
"ESP","rank_midas",17,5,40
"ESP","rank_rf",17,5,41
"ESP","rank_mean",16,5,42
"EST","incise_2019",0.674,0,1
"EST","sens_55",0.675,1,2
"EST","sens_60",0.674,1,3
"EST","sens_75",0.672,1,4
"EST","sens_2017",0.671,1,5
"EST","rank_2019",12,0,6
"EST","rank_55",12,1,7
"EST","rank_60",11,1,8
"EST","rank_75",10,1,9
"EST","rank_2017",12,1,10
"EST","sens_cap1",0.664,2,11
"EST","sens_cap2",0.665,2,12
"EST","sens_2015",0.639,2,13
"EST","sens_2016",0.594,2,14
"EST","rank_cap1",12,2,15
"EST","rank_cap2",12,2,16
"EST","rank_2015",12,2,17
"EST","rank_2016",17,2,18
"EST","sens_5050",0.667,3,19
"EST","sens_equal",0.687,3,20
"EST","sens_dqa",0.649,3,21
"EST","sens_internal",0.657,3,22
"EST","sens_sum",0.74,3,23
"EST","rank_5050",12,3,24
"EST","rank_equal",12,3,25
"EST","rank_dqa",12,3,26
"EST","rank_internal",12,3,27
"EST","rank_sum",12,3,28
"EST","sens_rank",0.68,4,29
"EST","sens_rescale",0.666,4,30
"EST","sens_std",0.671,4,31
"EST","rank_rank",13,4,32
"EST","rank_rescale",12,4,33
"EST","rank_std",12,4,34
"EST","sens_allin",0.639,5,35
"EST","sens_midas",0.627,5,36
"EST","sens_rf",0.665,5,37
"EST","sens_mean",0.59,5,38
"EST","rank_allin",12,5,39
"EST","rank_midas",13,5,40
"EST","rank_rf",12,5,41
"EST","rank_mean",15,5,42
"FIN","incise_2019",0.883,0,1
"FIN","sens_55",0.887,1,2
"FIN","sens_60",0.881,1,3
"FIN","sens_75",0.886,1,4
"FIN","sens_2017",0.879,1,5
"FIN","rank_2019",4,0,6
"FIN","rank_55",4,1,7
"FIN","rank_60",4,1,8
"FIN","rank_75",4,1,9
"FIN","rank_2017",4,1,10
"FIN","sens_cap1",0.873,2,11
"FIN","sens_cap2",0.873,2,12
"FIN","sens_2015",0.881,2,13
"FIN","sens_2016",0.83,2,14
"FIN","rank_cap1",5,2,15
"FIN","rank_cap2",5,2,16
"FIN","rank_2015",4,2,17
"FIN","rank_2016",4,2,18
"FIN","sens_5050",0.876,3,19
"FIN","sens_equal",0.895,3,20
"FIN","sens_dqa",0.858,3,21
"FIN","sens_internal",0.824,3,22
"FIN","sens_sum",0.897,3,23
"FIN","rank_5050",4,3,24
"FIN","rank_equal",4,3,25
"FIN","rank_dqa",4,3,26
"FIN","rank_internal",5,3,27
"FIN","rank_sum",4,3,28
"FIN","sens_rank",0.883,4,29
"FIN","sens_rescale",0.885,4,30
"FIN","sens_std",0.885,4,31
"FIN","rank_rank",4,4,32
"FIN","rank_rescale",4,4,33
"FIN","rank_std",4,4,34
"FIN","sens_allin",0.881,5,35
"FIN","sens_midas",0.884,5,36
"FIN","sens_rf",0.874,5,37
"FIN","sens_mean",0.85,5,38
"FIN","rank_allin",3,5,39
"FIN","rank_midas",4,5,40
"FIN","rank_rf",4,5,41
"FIN","rank_mean",4,5,42
"FRA","incise_2019",0.619,0,1
"FRA","sens_55",0.626,1,2
"FRA","sens_60",0.627,1,3
"FRA","sens_75",0.627,1,4
"FRA","sens_2017",0.628,1,5
"FRA","rank_2019",15,0,6
"FRA","rank_55",15,1,7
"FRA","rank_60",13,1,8
"FRA","rank_75",12,1,9
"FRA","rank_2017",14,1,10
"FRA","sens_cap1",0.655,2,11
"FRA","sens_cap2",0.656,2,12
"FRA","sens_2015",0.628,2,13
"FRA","sens_2016",0.636,2,14
"FRA","rank_cap1",13,2,15
"FRA","rank_cap2",13,2,16
"FRA","rank_2015",14,2,17
"FRA","rank_2016",12,2,18
"FRA","sens_5050",0.618,3,19
"FRA","sens_equal",0.62,3,20
"FRA","sens_dqa",0.615,3,21
"FRA","sens_internal",0.635,3,22
"FRA","sens_sum",0.609,3,23
"FRA","rank_5050",14,3,24
"FRA","rank_equal",16,3,25
"FRA","rank_dqa",14,3,26
"FRA","rank_internal",13,3,27
"FRA","rank_sum",16,3,28
"FRA","sens_rank",0.632,4,29
"FRA","sens_rescale",0.633,4,30
"FRA","sens_std",0.62,4,31
"FRA","rank_rank",14,4,32
"FRA","rank_rescale",13,4,33
"FRA","rank_std",15,4,34
"FRA","sens_allin",0.629,5,35
"FRA","sens_midas",0.619,5,36
"FRA","sens_rf",0.603,5,37
"FRA","sens_mean",0.605,5,38
"FRA","rank_allin",13,5,39
"FRA","rank_midas",14,5,40
"FRA","rank_rf",15,5,41
"FRA","rank_mean",12,5,42
"GBR","incise_2019",1,0,1
"GBR","sens_55",1,1,2
"GBR","sens_60",1,1,3
"GBR","sens_75",1,1,4
"GBR","sens_2017",1,1,5
"GBR","rank_2019",1,0,6
"GBR","rank_55",1,1,7
"GBR","rank_60",1,1,8
"GBR","rank_75",1,1,9
"GBR","rank_2017",1,1,10
"GBR","sens_cap1",1,2,11
"GBR","sens_cap2",1,2,12
"GBR","sens_2015",1,2,13
"GBR","sens_2016",1,2,14
"GBR","rank_cap1",1,2,15
"GBR","rank_cap2",1,2,16
"GBR","rank_2015",1,2,17
"GBR","rank_2016",1,2,18
"GBR","sens_5050",1,3,19
"GBR","sens_equal",0.999,3,20
"GBR","sens_dqa",1,3,21
"GBR","sens_internal",1,3,22
"GBR","sens_sum",0.949,3,23
"GBR","rank_5050",1,3,24
"GBR","rank_equal",2,3,25
"GBR","rank_dqa",1,3,26
"GBR","rank_internal",1,3,27
"GBR","rank_sum",2,3,28
"GBR","sens_rank",1,4,29
"GBR","sens_rescale",1,4,30
"GBR","sens_std",1,4,31
"GBR","rank_rank",1,4,32
"GBR","rank_rescale",1,4,33
"GBR","rank_std",1,4,34
"GBR","sens_allin",0.989,5,35
"GBR","sens_midas",1,5,36
"GBR","sens_rf",1,5,37
"GBR","sens_mean",1,5,38
"GBR","rank_allin",2,5,39
"GBR","rank_midas",1,5,40
"GBR","rank_rf",1,5,41
"GBR","rank_mean",1,5,42
"GRC","incise_2019",0.107,0,1
"GRC","sens_55",0.103,1,2
"GRC","sens_60",0.098,1,3
"GRC","sens_75",0.092,1,4
"GRC","sens_2017",0.098,1,5
"GRC","rank_2019",37,0,6
"GRC","rank_55",34,1,7
"GRC","rank_60",31,1,8
"GRC","rank_75",29,1,9
"GRC","rank_2017",30,1,10
"GRC","sens_cap1",0.158,2,11
"GRC","sens_cap2",0.158,2,12
"GRC","sens_2015",0.129,2,13
"GRC","sens_2016",0.113,2,14
"GRC","rank_cap1",33,2,15
"GRC","rank_cap2",33,2,16
"GRC","rank_2015",35,2,17
"GRC","rank_2016",33,2,18
"GRC","sens_5050",0.111,3,19
"GRC","sens_equal",0.099,3,20
"GRC","sens_dqa",0.123,3,21
"GRC","sens_internal",0.123,3,22
"GRC","sens_sum",0,3,23
"GRC","rank_5050",37,3,24
"GRC","rank_equal",37,3,25
"GRC","rank_dqa",37,3,26
"GRC","rank_internal",34,3,27
"GRC","rank_sum",38,3,28
"GRC","sens_rank",0.072,4,29
"GRC","sens_rescale",0.066,4,30
"GRC","sens_std",0.075,4,31
"GRC","rank_rank",37,4,32
"GRC","rank_rescale",37,4,33
"GRC","rank_std",37,4,34
"GRC","sens_allin",0.119,5,35
"GRC","sens_midas",0.081,5,36
"GRC","sens_rf",0.075,5,37
"GRC","sens_mean",0.066,5,38
"GRC","rank_allin",36,5,39
"GRC","rank_midas",37,5,40
"GRC","rank_rf",37,5,41
"GRC","rank_mean",37,5,42
"HRV","incise_2019",0.14,0,1
"HRV","sens_55",NA,1,2
"HRV","sens_60",NA,1,3
"HRV","sens_75",NA,1,4
"HRV","sens_2017",NA,1,5
"HRV","rank_2019",35,0,6
"HRV","rank_55",NA,1,7
"HRV","rank_60",NA,1,8
"HRV","rank_75",NA,1,9
"HRV","rank_2017",NA,1,10
"HRV","sens_cap1",0.144,2,11
"HRV","sens_cap2",0.144,2,12
"HRV","sens_2015",0.118,2,13
"HRV","sens_2016",0.073,2,14
"HRV","rank_cap1",36,2,15
"HRV","rank_cap2",36,2,16
"HRV","rank_2015",36,2,17
"HRV","rank_2016",37,2,18
"HRV","sens_5050",0.14,3,19
"HRV","sens_equal",0.14,3,20
"HRV","sens_dqa",0.14,3,21
"HRV","sens_internal",0.086,3,22
"HRV","sens_sum",0.069,3,23
"HRV","rank_5050",35,3,24
"HRV","rank_equal",35,3,25
"HRV","rank_dqa",35,3,26
"HRV","rank_internal",36,3,27
"HRV","rank_sum",34,3,28
"HRV","sens_rank",0.131,4,29
"HRV","sens_rescale",0.151,4,30
"HRV","sens_std",0.139,4,31
"HRV","rank_rank",34,4,32
"HRV","rank_rescale",34,4,33
"HRV","rank_std",34,4,34
"HRV","sens_allin",0.144,5,35
"HRV","sens_midas",0.159,5,36
"HRV","sens_rf",0.145,5,37
"HRV","sens_mean",0.169,5,38
"HRV","rank_allin",34,5,39
"HRV","rank_midas",34,5,40
"HRV","rank_rf",34,5,41
"HRV","rank_mean",33,5,42
"HUN","incise_2019",0,0,1
"HUN","sens_55",0,1,2
"HUN","sens_60",0,1,3
"HUN","sens_75",0,1,4
"HUN","sens_2017",0,1,5
"HUN","rank_2019",38,0,6
"HUN","rank_55",35,1,7
"HUN","rank_60",32,1,8
"HUN","rank_75",30,1,9
"HUN","rank_2017",31,1,10
"HUN","sens_cap1",0,2,11
"HUN","sens_cap2",0,2,12
"HUN","sens_2015",0,2,13
"HUN","sens_2016",0,2,14
"HUN","rank_cap1",38,2,15
"HUN","rank_cap2",38,2,16
"HUN","rank_2015",38,2,17
"HUN","rank_2016",38,2,18
"HUN","sens_5050",0,3,19
"HUN","sens_equal",0,3,20
"HUN","sens_dqa",0,3,21
"HUN","sens_internal",0,3,22
"HUN","sens_sum",0.023,3,23
"HUN","rank_5050",38,3,24
"HUN","rank_equal",38,3,25
"HUN","rank_dqa",38,3,26
"HUN","rank_internal",38,3,27
"HUN","rank_sum",37,3,28
"HUN","sens_rank",0,4,29
"HUN","sens_rescale",0,4,30
"HUN","sens_std",0,4,31
"HUN","rank_rank",38,4,32
"HUN","rank_rescale",38,4,33
"HUN","rank_std",38,4,34
"HUN","sens_allin",0,5,35
"HUN","sens_midas",0,5,36
"HUN","sens_rf",0,5,37
"HUN","sens_mean",0,5,38
"HUN","rank_allin",38,5,39
"HUN","rank_midas",38,5,40
"HUN","rank_rf",38,5,41
"HUN","rank_mean",38,5,42
"IRL","incise_2019",0.625,0,1
"IRL","sens_55",0.623,1,2
"IRL","sens_60",0.617,1,3
"IRL","sens_75",0.619,1,4
"IRL","sens_2017",0.611,1,5
"IRL","rank_2019",14,0,6
"IRL","rank_55",16,1,7
"IRL","rank_60",15,1,8
"IRL","rank_75",14,1,9
"IRL","rank_2017",16,1,10
"IRL","sens_cap1",0.622,2,11
"IRL","sens_cap2",0.623,2,12
"IRL","sens_2015",0.619,2,13
"IRL","sens_2016",0.594,2,14
"IRL","rank_cap1",16,2,15
"IRL","rank_cap2",16,2,16
"IRL","rank_2015",15,2,17
"IRL","rank_2016",15,2,18
"IRL","sens_5050",0.616,3,19
"IRL","sens_equal",0.641,3,20
"IRL","sens_dqa",0.593,3,21
"IRL","sens_internal",0.598,3,22
"IRL","sens_sum",0.601,3,23
"IRL","rank_5050",15,3,24
"IRL","rank_equal",14,3,25
"IRL","rank_dqa",15,3,26
